Name,Phase,Status,Estimate,Priority,Type,Description,Depends On,Prompt Included
Set neutral material and center model,Phase 2: 3D Assets,Not Started,30 min,High,Art,"Set material to plain white/light gray (colors applied in code later). Center model at origin. Scale to ~1 unit tall.",Fix geometry and artifacts,No
Export hero bull as .glb,Phase 2: 3D Assets,Not Started,15 min,High,Art,"File → Export → glTF. Check 'Apply Modifiers'. Save as bull.glb in /src/assets/models/.",Set neutral material and center model,No
Generate barn model,Phase 2: 3D Assets,Not Started,1 hr,Medium,Art,"Use Meshy: 'Low-poly red barn, simple geometry, farm building, no texture, solid colors'. Clean up in Blender. Export as barn.glb.",Export hero bull as .glb,Yes
Generate signpost model,Phase 2: 3D Assets,Not Started,1 hr,Medium,Art,"Use Meshy: 'Low-poly wooden signpost scoreboard, farm style, no texture'. Clean up in Blender. Export as signpost.glb.",Export hero bull as .glb,Yes
Create mascot Tobu model,Phase 2: 3D Assets,Not Started,30 min,Medium,Art,"In Blender: duplicate hero bull, scale 1.5x, apply Barcelona red (#D50032) and yellow (#FFCD00) colors. Export as mascot.glb.",Export hero bull as .glb,No
Download Kenney.nl farm assets,Phase 2: 3D Assets,Not Started,30 min,Medium,Art,"Browse kenney.nl/assets. Download Nature Kit or similar pack. Get fence, tree, grass, rock models.",,No
Generate moo sound effect,Phase 2: 3D Assets,Not Started,20 min,Low,Audio,"Use ElevenLabs Sound Effects to generate a soft 'moo'. Download as moo.mp3.",,No
Download ambient farm audio,Phase 2: 3D Assets,Not Started,20 min,Low,Audio,"Search Freesound.org for 'farm ambient loop'. Download a clean looping track (CC license). Save as ambient.mp3.",,No
Generate Tobu logo,Phase 2: 3D Assets,Not Started,30 min,Medium,Art,"Use ChatGPT or Claude image gen: 'App icon: cute low-poly 3D bull face, red and yellow gradient background, square rounded corners'. Save as tobu-logo.png + icon-192.png + icon-512.png.",,No
Build ground and sky,Phase 3: Core 3D Scene,Not Started,1 hr,High,Code,"Create Farm.tsx with rolling hills ground plane, sky, lighting, and OrbitControls (locked above horizon). Use the Cursor prompt from the game plan.",Scaffold project in Cursor,Yes
Place farm landmarks,Phase 3: Core 3D Scene,Not Started,2 hrs,High,Code,"Create Barn, Signpost, Mascot, and Fences components. Load .glb models. Position on the farm. Add click handlers (barn message, signpost toggle, mascot about text).",Build ground and sky; Export hero bull as .glb; Generate barn model; Generate signpost model; Create mascot Tobu model,Yes
Build BullHerd with InstancedMesh,Phase 3: Core 3D Scene,Not Started,4 hrs,High,Code,"The most complex component. InstancedMesh renders all bulls in one draw call. Per-instance colors from name hash. Bobbing and rotation animations. Click detection via raycasting. Camera pan on tap.",Place farm landmarks,Yes
Build speech bubble component,Phase 3: Core 3D Scene,Not Started,3 hrs,High,Code,"HTML overlay via drei's Html component. Shows story, name, emoji reactions. One emoji per user per bull. Triggers NamePicker if no identity. Dismisses on outside tap.",Build BullHerd with InstancedMesh,Yes
Build audio manager,Phase 3: Core 3D Scene,Not Started,1 hr,Medium,Code,"Howler.js preload. Zustand mute state (default: muted). Ambient loop. Moo on tap. MuteButton in top-right corner.",Build speech bubble component,Yes
Test 3D scene on iPhone Safari,Phase 3: Core 3D Scene,Not Started,1 hr,High,Testing,"Open localhost on your iPhone (same WiFi). Check: orbit controls, bull tapping, speech bubbles, performance. Fix any issues.",Build audio manager,No
Set up Firebase in the project,Phase 4: Firebase Backend,Not Started,1 hr,High,Code,"Initialize Firebase with env vars. Create helper functions for tobus, roster, and admin config. Set up Firestore security rules.",Create Firebase project,Yes
Scrape section directory for roster,Phase 4: Firebase Backend,Not Started,1-2 hrs,High,Data,"Open section directory page. Copy HTML or use Claude to extract all full names into a JSON array. Clean up and deduplicate. Save as roster.json.",,No
Create and run seed script,Phase 4: Firebase Backend,Not Started,1 hr,High,Code,"Node.js script that uploads seed_data.json (past winners) and roster.json (member names) to Firestore. Generates bull colors and positions. Sets admin PIN.",Set up Firebase in the project; Save seed_data.json; Scrape section directory for roster,Yes
Connect BullHerd to Firestore,Phase 4: Firebase Backend,Not Started,2 hrs,High,Code,"Replace mock data with real-time Firestore listener. Bulls should appear from the database. Verify all ~24-26 pre-populated bulls render correctly.",Create and run seed script; Build BullHerd with InstancedMesh,No
Build NamePicker component,Phase 4: Firebase Backend,Not Started,1.5 hrs,High,Code,"Full-screen overlay with searchable roster list. Appears on first reaction attempt. Saves name to localStorage. UserBadge in top-left corner.",Connect BullHerd to Firestore,Yes
Wire up emoji reactions to Firestore,Phase 4: Firebase Backend,Not Started,2 hrs,High,Code,"On emoji tap: check identity, save to Firestore reactions map (replace previous). Real-time listener updates counts across devices.",Build NamePicker component,No
Build admin PIN authentication,Phase 5: Admin + Leaderboard,Not Started,1.5 hrs,High,Code,"Gear icon bottom-left. PIN input overlay. Verify against Firestore config/admin. SessionStorage for admin state.",Set up Firebase in the project,Yes
Build barn submission form,Phase 5: Admin + Leaderboard,Not Started,2 hrs,High,Code,"Bottom-sheet overlay (admin only). Winner dropdown from roster, story input (280 chars), optional photo, date picker. No term selector (defaults to 3). Bull appears immediately on submit.",Build admin PIN authentication; Connect BullHerd to Firestore,Yes
Build admin edit and delete,Phase 5: Admin + Leaderboard,Not Started,1.5 hrs,Medium,Code,"List of all entries below the barn form. Edit button pre-fills form. Delete button with confirmation prompt.",Build barn submission form,No
Build leaderboard overlay,Phase 5: Admin + Leaderboard,Not Started,1.5 hrs,Medium,Code,"Modal triggered by signpost click. Ranked list: rank, colored circle, full name, win count. Styled as wooden scoreboard.",Connect BullHerd to Firestore; Place farm landmarks,Yes
Build loading screen,Phase 6: Polish + PWA,Not Started,1.5 hrs,High,Code,"Tobu logo centered. Cycling messages every 1.5s. Barcelona color scheme. Fade-out transition. PORTFOLIO-QUALITY design.",Generate Tobu logo,Yes
Build cinematic camera intro,Phase 6: Polish + PWA,Not Started,2 hrs,High,Code,"First visit only. Camera sweeps from high to default position over 3.5s. Skippable. localStorage flag. Disable OrbitControls during sweep.",Build ground and sky,Yes
Build onboarding hint,Phase 6: Polish + PWA,Not Started,1 hr,Medium,Code,"Animated tap gesture near a bull. CSS keyframes. Disappears after 3s or first tap. First visit only.",Build cinematic camera intro,Yes
Build offline detection,Phase 6: Polish + PWA,Not Started,30 min,Medium,Code,"Listen to navigator.onLine. Show friendly message when offline. Auto-dismiss on reconnect.",,Yes
Create PWA manifest,Phase 6: Polish + PWA,Not Started,30 min,High,Code,"manifest.json with app name, icons, theme color. Service worker for asset caching.",Generate Tobu logo,Yes
Performance optimization,Phase 6: Polish + PWA,Not Started,2 hrs,High,Code,"Verify InstancedMesh is working. Disable shadows. Frustum culling. Lazy load audio. Test fps on real devices.",Test 3D scene on iPhone Safari,Yes
Full testing pass on iPhone,Phase 6: Polish + PWA,Not Started,1.5 hrs,High,Testing,"Run through the complete testing checklist from the game plan. Every feature, every edge case.",,No
Full testing pass on Android,Phase 6: Polish + PWA,Not Started,1 hr,High,Testing,"Share Vercel preview URL with Android tester. Have them check all core flows.",Full testing pass on iPhone,No
Fix bugs from testing,Phase 6: Polish + PWA,Not Started,2 hrs,Medium,Code,"Address all issues found during iPhone and Android testing. Prioritize: broken features > visual glitches > polish.",Full testing pass on iPhone; Full testing pass on Android,No
Deploy to Vercel,Phase 7: Deploy + Launch,Not Started,30 min,High,Deploy,"Push to GitHub. Import in Vercel. Set build command and env vars. Deploy.",Fix bugs from testing,No
Beta test on live URL,Phase 7: Deploy + Launch,Not Started,1 hr,High,Testing,"Open live URL on your phone + testers' phones. Verify everything works on the production build.",Deploy to Vercel,No
Fix any live-only bugs,Phase 7: Deploy + Launch,Not Started,1 hr,Medium,Code,"Some bugs only appear in production (CORS, HTTPS, asset paths). Fix and redeploy.",Beta test on live URL,No
Share PIN with Steph,Phase 7: Deploy + Launch,Not Started,10 min,High,Launch,"Message Steph privately. Share the PIN. Walk her through: gear icon → PIN → tap barn → add Tobu.",Fix any live-only bugs,No
Surprise launch in WhatsApp,Phase 7: Deploy + Launch,Not Started,10 min,High,Launch,"Post the launch message in the section WhatsApp group. Include the URL and 'Add to Home Screen' tip.",Share PIN with Steph,No
